Fecha,Importe,Comensales,TipoServicio,Hora
2025-03-08,85.62,4,Cena,21:00
2025-03-08,147.42,4,Desayuno,09:00
2025-03-09,87.47,6,Desayuno,21:00
2025-03-09,35.48,5,Almuerzo,13:30
2025-03-10,30.6,6,Desayuno,09:00
2025-03-11,42.93,6,Desayuno,21:00
2025-03-11,32.9,3,Cena,21:00
2025-03-11,156.22,3,Almuerzo,09:00
2025-03-12,33.48,3,Cena,13:30
2025-03-12,112.49,1,Desayuno,09:00
2025-03-12,66.28,1,Desayuno,13:30
2025-03-13,154.47,4,Almuerzo,21:00
2025-03-13,164.6,6,Cena,13:30
2025-03-13,153.29,6,Cena,21:00
2025-03-14,27.25,5,Cena,09:00
2025-03-14,147.44,6,Desayuno,13:30
2025-03-15,118.12,2,Cena,13:30
2025-03-16,183.51,6,Desayuno,09:00
2025-03-16,150.7,6,Almuerzo,13:30
2025-03-17,52.54,3,Almuerzo,21:00
2025-03-17,66.12,6,Desayuno,13:30
2025-03-18,192.28,5,Cena,13:30
2025-03-18,66.99,1,Desayuno,21:00
2025-03-19,49.37,3,Cena,21:00
2025-03-20,20.82,1,Desayuno,13:30
2025-03-21,164.17,5,Cena,13:30
2025-03-21,196.31,4,Almuerzo,09:00
2025-03-22,184.19,6,Almuerzo,21:00
2025-03-22,170.73,1,Almuerzo,09:00
2025-03-22,88.89,3,Cena,09:00
2025-03-23,77.89,2,Almuerzo,13:30
2025-03-23,30.85,6,Cena,21:00
2025-03-24,49.72,5,Almuerzo,09:00
2025-03-24,134.87,1,Desayuno,21:00
2025-03-24,23.85,1,Cena,13:30
2025-03-25,168.66,2,Desayuno,21:00
2025-03-26,21.31,1,Cena,21:00
2025-03-26,104.93,2,Almuerzo,21:00
2025-03-27,132.59,6,Desayuno,21:00
2025-03-27,63.6,2,Almuerzo,13:30
2025-03-27,181.06,4,Desayuno,21:00
2025-03-28,142.55,5,Almuerzo,21:00
2025-03-28,75.75,5,Almuerzo,13:30
2025-03-29,125.25,3,Cena,13:30
2025-03-30,124.5,3,Almuerzo,09:00
2025-03-31,68.35,2,Desayuno,13:30
2025-04-01,50.6,4,Desayuno,09:00
2025-04-02,22.19,5,Almuerzo,09:00
2025-04-03,25.04,1,Almuerzo,09:00
2025-04-04,95.56,1,Almuerzo,09:00
2025-04-04,192.6,1,Almuerzo,13:30
2025-04-04,175.87,1,Cena,09:00
2025-04-05,83.49,4,Cena,13:30
2025-04-05,111.64,1,Almuerzo,09:00
2025-04-06,67.5,3,Almuerzo,13:30
2025-04-06,187.25,5,Desayuno,13:30
2025-04-07,74.02,6,Cena,21:00
2025-04-07,156.25,4,Desayuno,21:00
2025-04-08,28.36,3,Cena,09:00
2025-04-09,50.52,6,Desayuno,21:00
2025-04-10,157.68,1,Desayuno,13:30
2025-04-11,75.31,3,Almuerzo,21:00
2025-04-12,63.97,1,Almuerzo,21:00
2025-04-12,197.49,3,Cena,21:00
2025-04-13,170.36,3,Cena,21:00
2025-04-13,45.09,1,Cena,13:30
2025-04-14,72.29,2,Almuerzo,13:30
2025-04-15,23.19,6,Desayuno,21:00
2025-04-15,151.95,3,Almuerzo,09:00
2025-04-15,190.69,4,Desayuno,21:00
2025-04-16,90.48,2,Cena,13:30
2025-04-16,106.76,5,Desayuno,13:30
2025-04-17,89.78,1,Cena,21:00
2025-04-17,186.12,5,Desayuno,13:30
2025-04-18,80.85,2,Desayuno,09:00
2025-04-18,174.25,4,Cena,09:00
2025-04-19,88.29,1,Cena,09:00
2025-04-19,157.91,2,Cena,13:30
2025-04-19,186.38,6,Almuerzo,09:00
2025-04-20,57.47,3,Cena,09:00
2025-04-20,29.34,4,Almuerzo,21:00
2025-04-20,198.18,5,Cena,09:00
2025-04-21,165.02,5,Cena,13:30
2025-04-21,33.96,5,Cena,09:00
2025-04-21,33.67,2,Almuerzo,21:00
2025-04-22,63.65,5,Almuerzo,21:00
2025-04-22,198.27,6,Desayuno,21:00
2025-04-23,78.28,6,Cena,09:00
2025-04-23,116.11,6,Cena,09:00
2025-04-23,171.87,1,Desayuno,09:00
2025-04-24,195.59,2,Cena,13:30
2025-04-24,98.21,5,Desayuno,13:30
2025-04-24,37.31,3,Cena,09:00
2025-04-25,182.61,1,Almuerzo,13:30
2025-04-26,36.19,3,Cena,09:00
2025-04-26,49.36,3,Cena,21:00
2025-04-26,49.43,6,Cena,13:30
2025-04-27,83.86,1,Desayuno,21:00
2025-04-28,49.57,2,Cena,13:30
2025-04-28,50.6,6,Cena,21:00
2025-04-29,179.08,2,Desayuno,09:00
2025-04-30,145.26,5,Desayuno,13:30
2025-04-30,188.06,4,Almuerzo,13:30
2025-04-30,187.27,1,Desayuno,21:00
2025-05-01,73.18,6,Almuerzo,21:00
2025-05-01,132.12,1,Desayuno,13:30
2025-05-02,139.32,3,Desayuno,21:00
2025-05-02,153.52,6,Almuerzo,13:30
2025-05-02,129.14,3,Almuerzo,09:00
2025-05-03,141.16,4,Desayuno,21:00
2025-05-03,63.87,4,Desayuno,09:00
2025-05-03,185.81,2,Desayuno,09:00
2025-05-04,67.13,5,Almuerzo,13:30
2025-05-05,168.4,6,Desayuno,13:30
2025-05-05,125.36,1,Cena,13:30
2025-05-05,168.2,4,Almuerzo,21:00
2025-05-06,24.32,3,Almuerzo,09:00
2025-05-06,155.36,2,Desayuno,13:30
2025-05-06,156.25,2,Almuerzo,21:00
2025-05-07,20.62,5,Almuerzo,09:00
2025-05-07,147.55,4,Desayuno,13:30
2025-05-08,133.28,2,Cena,13:30
2025-05-08,116.4,3,Almuerzo,21:00
2025-05-08,151.92,3,Almuerzo,09:00
2025-05-09,89.68,5,Desayuno,21:00
2025-05-09,77.34,5,Cena,09:00
2025-05-09,74.51,4,Almuerzo,09:00
2025-05-10,185.99,5,Almuerzo,13:30
2025-05-10,45.35,1,Almuerzo,21:00
2025-05-10,199.94,5,Desayuno,21:00
2025-05-11,185.67,2,Desayuno,13:30
2025-05-12,79.86,2,Almuerzo,13:30
2025-05-12,155.41,1,Desayuno,21:00
2025-05-12,80.55,4,Cena,21:00
2025-05-13,149.76,5,Cena,13:30
2025-05-14,61.09,3,Almuerzo,21:00
2025-05-14,55.33,6,Almuerzo,21:00
2025-05-15,37.58,6,Almuerzo,09:00
2025-05-15,61.98,6,Cena,21:00
2025-05-16,80.75,2,Desayuno,13:30
2025-05-16,143.07,3,Cena,21:00
2025-05-16,199.27,1,Almuerzo,21:00
2025-05-17,106.96,3,Almuerzo,13:30
2025-05-17,24.64,5,Cena,09:00
2025-05-18,175.35,6,Almuerzo,21:00
2025-05-18,55.67,4,Cena,21:00
2025-05-19,134.59,3,Desayuno,09:00
2025-05-20,161.4,1,Almuerzo,21:00
2025-05-20,105.9,5,Desayuno,09:00
2025-05-20,42.05,4,Almuerzo,09:00
2025-05-21,146.69,5,Almuerzo,09:00
2025-05-21,27.13,3,Cena,13:30
2025-05-22,96.51,6,Desayuno,09:00
2025-05-22,31.04,2,Desayuno,21:00
2025-05-23,22.16,3,Desayuno,21:00
2025-05-24,65.14,6,Almuerzo,09:00
2025-05-24,147.77,3,Cena,09:00
2025-05-24,47.53,4,Cena,21:00
2025-05-25,135.94,3,Almuerzo,09:00
2025-05-25,79.48,5,Almuerzo,09:00
2025-05-26,48.5,6,Desayuno,09:00
2025-05-27,159.94,5,Cena,21:00
2025-05-27,47.29,5,Cena,09:00
2025-05-28,84.49,5,Desayuno,21:00
2025-05-28,130.9,1,Desayuno,21:00
2025-05-29,39.49,6,Cena,09:00
2025-05-30,184.99,3,Cena,13:30
2025-05-30,106.81,3,Cena,13:30
2025-05-31,191.33,5,Cena,13:30
2025-06-01,154.03,5,Cena,09:00
2025-06-01,157.51,6,Desayuno,21:00
2025-06-01,34.24,3,Almuerzo,09:00
2025-06-02,179.13,5,Cena,13:30
2025-06-02,155.25,5,Cena,09:00
2025-06-02,97.0,1,Almuerzo,09:00
2025-06-03,54.56,2,Cena,09:00
2025-06-03,67.93,6,Almuerzo,13:30
2025-06-03,196.92,6,Almuerzo,21:00
2025-06-04,140.37,6,Almuerzo,09:00
2025-06-04,178.88,1,Cena,13:30
2025-06-05,66.23,1,Cena,21:00
2025-06-06,86.17,2,Almuerzo,09:00
2025-06-06,67.57,5,Cena,09:00
2025-06-07,162.93,6,Desayuno,13:30
2025-06-07,157.14,6,Almuerzo,13:30
2025-06-08,89.33,6,Almuerzo,09:00
2025-06-08,142.77,2,Almuerzo,21:00
2025-06-09,180.99,1,Cena,09:00
2025-06-09,133.93,5,Almuerzo,13:30
2025-06-10,94.76,4,Desayuno,21:00
2025-06-11,174.95,6,Desayuno,21:00
2025-06-11,158.5,1,Desayuno,13:30
2025-06-11,111.86,4,Cena,09:00
2025-06-12,199.18,3,Desayuno,21:00
2025-06-13,150.85,5,Cena,09:00
2025-06-13,91.83,5,Almuerzo,13:30
2025-06-13,43.72,6,Cena,13:30
2025-06-14,104.11,1,Cena,21:00
2025-06-14,188.42,1,Cena,13:30
2025-06-14,106.88,5,Cena,21:00
2025-06-15,69.93,2,Almuerzo,09:00
2025-06-16,86.33,2,Cena,21:00
2025-06-17,149.57,6,Almuerzo,13:30
2025-06-17,26.92,4,Desayuno,09:00
2025-06-17,90.53,1,Desayuno,21:00
2025-06-18,88.75,3,Cena,13:30
2025-06-18,165.71,1,Cena,13:30
2025-06-18,115.15,3,Cena,13:30
2025-06-19,37.87,5,Almuerzo,13:30
2025-06-19,44.62,2,Almuerzo,21:00
2025-06-20,172.83,1,Almuerzo,21:00
2025-06-20,197.99,5,Cena,13:30
2025-06-20,112.39,2,Cena,09:00
2025-06-21,34.51,5,Desayuno,13:30
2025-06-21,99.17,5,Almuerzo,09:00
2025-06-22,139.76,5,Desayuno,21:00
2025-06-22,154.22,2,Cena,21:00
2025-06-22,46.38,2,Almuerzo,21:00
2025-06-23,128.74,3,Cena,09:00
2025-06-24,46.29,4,Cena,21:00
2025-06-24,49.01,2,Cena,09:00
2025-06-24,57.41,3,Cena,13:30
2025-06-25,146.82,4,Almuerzo,13:30
2025-06-26,180.15,6,Cena,09:00
2025-06-26,54.21,4,Desayuno,13:30
2025-06-27,140.18,4,Desayuno,13:30
2025-06-28,113.56,4,Almuerzo,09:00
2025-06-28,193.68,3,Almuerzo,09:00
2025-06-28,69.02,1,Desayuno,21:00
2025-06-29,151.82,3,Cena,09:00
2025-06-29,155.93,4,Cena,13:30
2025-06-29,26.52,5,Cena,21:00
2025-06-30,187.87,4,Almuerzo,09:00
2025-06-30,61.49,5,Desayuno,21:00
2025-07-01,69.26,4,Desayuno,13:30
2025-07-02,199.96,2,Almuerzo,13:30
2025-07-03,106.47,4,Cena,09:00
2025-07-03,58.35,1,Almuerzo,21:00
2025-07-04,50.21,4,Cena,21:00
2025-07-04,121.06,4,Cena,21:00
2025-07-04,57.9,2,Cena,21:00
2025-07-05,49.9,1,Cena,21:00
2025-07-05,39.27,5,Cena,13:30
2025-07-06,65.53,5,Almuerzo,09:00
2025-07-07,102.48,6,Cena,21:00
2025-07-07,163.99,2,Cena,21:00
2025-07-08,105.51,2,Almuerzo,13:30
2025-07-09,77.5,4,Desayuno,13:30
2025-07-09,187.95,6,Desayuno,13:30
2025-07-09,124.51,3,Cena,09:00
2025-07-10,25.03,2,Almuerzo,21:00
2025-07-10,168.97,1,Desayuno,13:30
2025-07-11,32.86,1,Cena,09:00
2025-07-12,133.33,6,Cena,13:30
2025-07-12,29.91,2,Cena,13:30
2025-07-13,133.48,6,Almuerzo,21:00
2025-07-14,126.7,6,Almuerzo,21:00
2025-07-14,140.38,6,Almuerzo,09:00
2025-07-14,151.89,1,Cena,09:00
2025-07-15,115.82,4,Cena,09:00
2025-07-15,50.39,3,Almuerzo,09:00
2025-07-16,53.99,4,Cena,21:00
2025-07-16,45.41,2,Cena,09:00
2025-07-16,95.68,2,Cena,21:00
2025-07-17,157.88,5,Cena,21:00
2025-07-17,20.33,6,Cena,09:00
2025-07-17,164.65,5,Cena,13:30
2025-07-18,191.32,2,Desayuno,13:30
2025-07-18,54.82,2,Desayuno,13:30
2025-07-19,25.54,3,Almuerzo,13:30
2025-07-20,59.99,4,Cena,13:30
2025-07-20,138.95,4,Cena,13:30
2025-07-21,178.16,2,Desayuno,13:30
2025-07-21,179.99,6,Desayuno,13:30
2025-07-22,151.28,2,Cena,13:30
2025-07-22,25.57,5,Cena,09:00
2025-07-22,157.05,1,Desayuno,13:30
2025-07-23,115.49,6,Desayuno,09:00
2025-07-24,176.33,2,Cena,09:00
2025-07-24,166.61,6,Almuerzo,21:00
2025-07-25,89.96,3,Desayuno,09:00
2025-07-26,75.35,2,Cena,09:00
2025-07-26,191.16,5,Desayuno,09:00
2025-07-26,166.33,2,Desayuno,21:00
2025-07-27,107.43,4,Desayuno,09:00
2025-07-27,164.48,6,Cena,09:00
2025-07-28,170.36,4,Almuerzo,21:00
2025-07-29,78.91,4,Almuerzo,21:00
2025-07-29,111.81,1,Cena,13:30
